REF NO,DISTRICT,UPAZILA,ORGANIZATION_NAME,EIIN
1792,Noakhali,Begumganj,UTTAR HAZIPUR ISLAMIA DAKHIL MADRASAH,107237
1793,Noakhali,Begumganj,UTTAR PASCHIM DURGAPUR MA MATIN ISLAMIA DAKHIL MADRASAH,107238
1794,Noakhali,Begumganj,CHOWMUHANI ISLAMIA FAZIL MADRASAH,107239
1795,Noakhali,Begumganj,PASCHIM ANANTAPUR ISLAMIA ALIM MADRASAH,107245
1796,Noakhali,Begumganj,BANGLABAZAR MOHILA DAKHIL MADRASHA,107251
1797,Noakhali,Begumganj,SHOHID AHMED ALI MOHILA DAKHIL MADRASAH,107252
1798,Noakhali,Chatkhil,SAPTAGAON ADARSHA HIGH SCHOOL,107258
1799,Noakhali,Chatkhil,BADALKOTE HIGH SCHOOL,107270
1800,Noakhali,Chatkhil,SOMPARA GIRLS HIGH SCHOOL,107273
1801,Noakhali,Companiganj,NASER HIGH SCHOOL,107320
1802,Noakhali,Companiganj,JOGIDIA GIRL HIGH SCHOOL,107331
1803,Noakhali,Companiganj,PESKERHAT HIGH SCHOOL,107334
1804,Noakhali,Companiganj,MUSAPUR HIGH SCHOOL,107335
1805,Noakhali,Companiganj,ABU MAZIRHAT HIGH SCHOOL,107336
1806,Noakhali,Companiganj,ABU NASER CHOWDHURY POURA HIGH SCHOOL,107341
1807,Noakhali,Sonaimuri,BIR SRESTHA RUHUL AMIN ACADEMY,107363
1808,Noakhali,Sonaimuri,KASHIPUR MULTILATERAL HIGH SCHOOL,107375
1809,Noakhali,Sonaimuri,AMISHA PARA KRISHAK HIGH SCHOOL,107376
1810,Noakhali,Sonaimuri,ABIRPARA MADHYAMIC BIDYA NIKETAN,107378
1811,Noakhali,Sonaimuri,SONAPUR ALI AKBAR HIGH SCHOOL,107387
1812,Noakhali,Sonaimuri,AMBARNAGAR HIGH SCHOOL,107391
1813,Noakhali,Sonaimuri,NILAMHAT ADRSHA HIGH SCHOOL,107393
1814,Noakhali,Senbagh,CHANDPUR MODEL HIGH SCHOOL,107472
1815,Noakhali,Senbagh,BIJBAG NK HIGH SCHOOL,107477
1816,Noakhali,Senbagh,KANKIRHAT ML HIGH SCHOOL,107478
1817,Noakhali,Senbagh,NABIPUR HIGH SCHOOL,107481
1818,Noakhali,Senbagh,BATAKANDI ADARSHA SCHOOL AND COOEGE,107490
1819,Noakhali,Senbagh,KALYANDI FAIZUL ULUM DAKHIL MADRASHA,107507
1820,Noakhali,Kabirhat,MIARHAT HIGH SCHOOL,107528
1821,Noakhali,Noakhali Sadar,NOAKHALI HIGH SCHOOL,107541
1822,Noakhali,Noakhali Sadar,MAIJDEE BALIKA BIDYANIKETAN,107544
1823,Noakhali,Noakhali Sadar,KALITARA MUSLIM GIRLS ACADEMY,107546
1824,Noakhali,Kabirhat,BHUIERHAT HIGH SCHOOL,107553
1825,Noakhali,Noakhali Sadar,MASATTAR HIGH SCHOOL,107572
1826,Noakhali,Noakhali Sadar,GOURIPUR GIRLS HIGH SCHOOL,107578
1827,Rangamati,Baghaichhari,BAGHAICHARI HIGH SCHOOL,107670
1828,Rangamati,Baghaichhari,ULUCHARI MOUZA HIGH SCHOOL,107672
1829,Rangamati,Baghaichhari,KACHALONG GIRLS HIGH SCHOOL,107678
1830,Rangamati,Baghaichhari,UGALCHARI HIGH SCHOOL,107680
1831,Rangamati,Baghaichhari,KACHALONG DAKHIL MADRASHA,107684
1832,Rangamati,Barkal,BILCHARA HIGH SCHOOL,107688
1833,Rangamati,Barkal,SUBALONG HIGH SCHOOL,107689
1834,Rangamati,Barkal,BARUNACHARI HIGH SCHOOL,107690
1835,Rangamati,Barkal,HAZACHARA HIGH SCHOOL,107691
1836,Rangamati,Kawkhali,GHAGRA HIGH SCHOOL,107702
1837,Rangamati,Kawkhali,BETBUNIA HIGH SCHOOL,107703
1838,Rangamati,Kawkhali,HARANGI PARA HIGH SCHOOL,107705
1839,Rangamati,Kawkhali,PANCHARI HIGH SCHOOL,107706
1840,Rangamati,Kawkhali,GHAGRA GIRLS HIGH SCHOOL,107711
1841,Rangamati,Belai Chhari,FARUA HIGH SCHOOL,107720
1842,Rangamati,Kaptai ,PHARIKA HIGH SCHOOL,107725
1843,Rangamati,Kaptai ,SHAHID SHAMSUDDIN GIRLS HIGH SCHOOL,107727
1844,Rangamati,Kaptai ,KAPTAI HIGH SCHOOL,107729
1845,Rangamati,Kaptai ,WAGGA HIGH SCHOOL,107730
1846,Rangamati,Kaptai ,BOROICHARI KARNAFULY NURUL HUDA QUADERY HIGH SCHOOL,107731
1847,Rangamati,Jurai Chhari,BONJOGICHARA HIGH SCHOOL,107740
1848,Rangamati,Jurai Chhari,SUBALONG KHAGRACHARI JUNIOR SCHOOL,107743
1849,Rangamati,Langadu ,VASHANNYA ADAM ISLAMI HIGH SCHOOL,107744
1850,Rangamati,Langadu ,UGALCHHARI MAHAJAN PARA JUNIOR SCHOOL,107745
1851,Rangamati,Langadu ,KATTALI HIGH SCHOOL,107747
1852,Rangamati,Langadu ,KARALYACHARI RS HIGH SCHOOL,107748
1853,Rangamati,Langadu ,GULSHAKHALI ADARSHA HIGH SCHOOL,107749
1854,Rangamati,Langadu ,MAINIMUKH MODEL HIGH SCHOOL,107750
1855,Rangamati,Langadu ,LANGADU GIRLS HIGH SCHOOL,107752
1856,Rangamati,Langadu ,KALAPAKUJJA SENA MOITRY ADARSHA HIGH SCHOOL,107755
1857,Rangamati,Langadu ,BAITUSH SHAROF JABBARIA ADARSHA DAKHIL MADRASHA,107760
1858,Rangamati,Rajasthali ,BANGLHALIA HIGH SCHOOL,107784
1859,Rangamati,Rajasthali ,GAINDYA HIGH SCHOOL,107786
1860,Rangamati,Rangamati Sadar,RANI DAYAMOYEE HIGH SCHOOL,107794
1861,Rangamati,Rangamati Sadar,SHAHID ABDUL ALI ACADEMY,107798
1862,Rangamati,Rangamati Sadar,KHARIKHONG HIGH SCHOOL,107799
1863,Rangamati,Rangamati Sadar,BANDUK BHANGA HIGH SCHOOL,107805
1864,Rangamati,Rangamati Sadar,AL AMIN ISLAMIA ALIM MADRASHA,107816
1865,Rangamati,Rangamati Sadar,RANGAMATI SENIOR MADRASHA,107817
1866,Dhaka,Badda,ROWSHAN ARA GIRLS HIGH SCHOOL,107821
1867,Dhaka,Badda,BADDA HIGH SCHOOL,107822
1868,Dhaka,Cantonment,KURMITOAL HIGH SCHOOL AND COLLEGE,107823
1869,Dhaka,Cantonment,BARUA ALAUDDIN DEWAN HIGH SCHOOL,107824
1870,Dhaka,Badda,BERAID MUSLIM HIGH SCHOOL,107826
1871,Dhaka,Badda,HAJI MADBOR ALI HASANIA DAKHIL MADRASA,107829
1872,Dhaka,Gulshan,UTTOR BADDA ISLAMIA KAMIL MADRASA,107835
1873,Dhaka,Demra,HAJEE MOAZZEM ALI HIGH SCHOOL,107869
1874,Dhaka,Demra,SHEKHDI ABDULLAH MOLLAH HIGH SCHOOL,107873
1875,Dhaka,Demra,R K CHOWDHURY HIGH SCHOOL,107875
1876,Dhaka,Shyampur,RAIS NAGOR HIGH SCHOOL,107876
1877,Dhaka,Demra,CITY CORPORATION ADARSHA HIGH SCHOOL,107881
1878,Dhaka,Demra,MANIKNAGAR MODEL HIGH SCHOOL,107882
1879,Dhaka,Demra,AGRADUT BIDDANIKETON HIGH SCHOOL,107888
1880,Dhaka,Shyampur,PNP SHOHID FARUQUE MD IQBAL HIGH SCHOOL,107889
1881,Dhaka,Shyampur,JANATABAG ADARSHO HIGH SCHOOL,107890
1882,Dhaka,Motijheel,NASIRABAD HIGH SCHOOL,107895
1883,Dhaka,Motijheel,ADDHAPAK ALI AHMAD HIGH SCHOOL,107896
1884,Dhaka,Demra,DARUNNAZAT SIDDIKIA KAMIL MADRASAH,107906
1885,Dhaka,Demra,BARNAMALA ADARSHA UCHCHA BIDYALAYA AND COLLEGE,107914
1886,Dhaka,Dhamrai,ABDUSH SOBHAN MODEL HIGH SCHOOL,107917
1887,Dhaka,Dhamrai,KUSHURA ABBAS ALI HIGH SCHOOL,107925
1888,Dhaka,Dhamrai,KAILASH CHANDRA HIGH SCHOOL,107931
1889,Dhaka,Dhamrai,SHAILAN SURMA HIGH SCHOOL,107935
1890,Dhaka,Dhamrai,SHOHID ABUL HOSSAIN HIGH SCHOOL,107938
1891,Dhaka,Dhamrai,SHARIFBAG ISLAMIA KAMIL MADRASAH,107943
1892,Dhaka,Dhamrai,NANNAR NURUL HAQ DARUL ISLAM FAZIL MADRASAH,107945
1893,Dhaka,Dhanmondi,RAYER BAZAR HIGH SCHOOL,107968
1894,Dhaka,Dhanmondi,DHANMONDI HIGH SCHOOL,107970
1895,Dhaka,Dhanmondi,MEHERUNNESSA GIRLS SCHOOL,107985
1896,Dhaka,Dohar,ISLAMABAD HIGH SCHOOL,107995
1897,Dhaka,Dohar,MUKSUDPUR SHAMSUDDIN SIKDER HIGH SCHOOL,107996
1898,Dhaka,Dohar,JOYPARA MAHMUDIA ALIM MADRASHA,108006
1899,Dhaka,Badda,RAMPURA EKRAMUNNESA GIRLS HIGH SCHOOL,108014
1900,Dhaka,Badda,ABDUL KAHLEQE MEMORIAL HIGH SCHOOL,108015
1901,Dhaka,Badda,KHILBARIRTEK ISLAMIA HIGH SCHOOL,108017
1902,Dhaka,Gulshan,BANANI MODEL SCHOOL,108018
1903,Dhaka,Gulshan,MOHAKHALI MODEL HIGH SCHOOL,108020
1904,Dhaka,Badda,SATARKUL SCHOOL AND COLLEGE,108021
1905,Dhaka,Gulshan,SHAJADPUR NAZAR MAHMUD ALIM MADRASAH,108029
1906,Dhaka,Gulshan,MOHAKHALI DARUL ULUM HOSSAINIAH KAMIL MADRASAH,108030
1907,Dhaka,Mohammadpur,BACHILA HIGH SCHOOL,108041
1908,Dhaka,Kafrul,ROTARY SCHOOL AND COLLEGE,108043
1909,Dhaka,Kafrul,BANGLADESH MUKTIZODHA UCHA BIDYALAY,108045
1910,Dhaka,Kafrul,HAZI ASHRAF ALI HIGH SCHOOL,108046
1911,Dhaka,Kafrul,DAKSHIN KAFRUL MODEL HIGH SCHOOL,108049
1912,Dhaka,Kafrul,DHAMALKOT ADARSHA HIGH SCHOOL,108050
1913,Dhaka,Lalbagh,ASHRAFABAD HIGH SCHOOL,108052
1914,Dhaka,Lalbagh,NURJAHAN BEGUM HIGH SCHOOL,108053
1915,Dhaka,Lalbagh,WAZUDDIN HIGH SCHOOL,108054
1916,Dhaka,Motijheel,GORAN ADARSHA HIGH SCHOOL,108062
1917,Dhaka,Badda,PURBA RAMPURA HIGH SCHOOL,108063
1918,Dhaka,Keraniganj,NAYA BAZAR HIGH SCHOOL,108071
1919,Dhaka,Keraniganj,TEGHARIA HIGH SCHOOL,108075
1920,Dhaka,Keraniganj,KERANIGANJ GIRLS SCHOOL AND COLLEGE,108121
1921,Dhaka,Kotwali,SHAH ABDUL HAMID KALANDAR GIRLS HIGH SCHOOL,108125
1922,Dhaka,Kotwali,AZIZIYA ISLAMIYA HIGH SCHOOL,108126
1923,Dhaka,Kotwali,BIR SHRESHTHA MOTIUR RAHMAN HIGH SCHOOL,108128
1924,Dhaka,Kotwali,ANANDOMOYEE GIRLS HIGH SCHOOL,108132
1925,Dhaka,Kotwali,BANGSHAL GIRLS HIGH SCHOOL,108134
1926,Dhaka,Kotwali,MILLAT HIGH SCHOOL,108135
1927,Dhaka,Kotwali,ANWARA BEGUM MUSLIM GIRLS HIGH SCHOOL AND COLLEGE,108138
1928,Dhaka,Kotwali,AHMED BAWANY ACADEMY SCHOOL AND COLLEGE,108139
1929,Dhaka,Lalbagh,ISLAMIA UCCHA BIDYALAYAA,108141
1930,Dhaka,Lalbagh,FARID UDDIN SIDDIKY HIGH SCHOOL,108147
1931,Dhaka,Lalbagh,MUKULIKA HIGH SCHOOL,108148
1932,Dhaka,Lalbagh,JAMILA KHATUN LALBAG HIGH SCHOOL,108149
1933,Dhaka,Lalbagh,MAHMUDA KHATUN MOHILA KAMIL MADRASAH,108150
1934,Dhaka,Pallabi,SHAHEED ABUTALEB HIGH SCHOOL,108167
1935,Dhaka,Mirpur,MODEL ACADEMY,108173
1936,Dhaka,Kafrul,HAZI ALI HOSSAIN HIGH SCHOOL,108174
1937,Dhaka,Kafrul,IBRAHIMPUR SALAUDDIN SHIKKHALOY,108175
1938,Dhaka,Mirpur,ALIM UDDIN HIGH SCHOOL,108177
1939,Dhaka,Kafrul,ADARSHA HIGH SCHOOL,108182
1940,Dhaka,Pallabi,PALLABI MI MODEL HIGH SCHOOL,108183
1941,Dhaka,Mirpur,NATIONAL BANGLA HIGH SCHOOL,108187
1942,Dhaka,Mirpur,PAIKPARA STAFF QUARTER UCHACH BIDYALAYA,108189
1943,Dhaka,Mirpur,ISLAMEE ADARSHA HIGH SCHOOL,108190
1944,Dhaka,Pallabi,SULTAN MOLLAH ADARSHA HIGH SCHOOL,108195
1945,Dhaka,Mirpur,MADRASAEBAITUL MAMUR,108199
1946,Dhaka,Mirpur,MOHAMMADABAD ISLAMIA ALIM MADRASAH SADARAN TAHABIL,108203
1947,Dhaka,Mirpur,BAITUL MOSHARROF SENIOR MADRASHA,108204
1948,Dhaka,Mirpur,BASHIR UDDIN ADARSHA HIGH SCHOOL,108217
1949,Dhaka,Mohammadpur,BENGALI MEDIUM HIGH SCHOOL,108228
1950,Dhaka,Mohammadpur,NABADIGANTA ADARSHA HIGH SCHOOL,108229
1951,Dhaka,Mohammadpur,DHAKA PRESIDENCY HIGH SCHOOL,108231
1952,Dhaka,Mirpur,NEW MODEL HIGH SCHOOL,108234
1953,Dhaka,Mohammadpur,WEST DHANMONDI YOUSUF HIGH SCHOOL,108236
1954,Dhaka,Mohammadpur,MOHAMMADPUR GIRLS HIGH SCHOOL,108238
1955,Dhaka,Mirpur,AGARGAON ADARSHO UCHAHA BIDAYALAY,108242
1956,Dhaka,Mohammadpur,JAMEYAEHZRAT ABU BAKAR,108243
1957,Dhaka,Mohammadpur,MOHAMMADIA ALIM MADRASAH,108248
1958,Dhaka,Mohammadpur,KISHOLOY BALIKA BIDDALOY O COLLEGE,108260
1959,Dhaka,Mirpur,BANGABANDHU SHEIKH MUJIB ACADEMY,108262
1960,Dhaka,Motijheel,MOTIJHEEL COLONY HIGH SCHOOL,108267
1961,Dhaka,Motijheel,IDEAL SCHOOL AND COLLEGE,108277
1962,Dhaka,Nawabganj,BANDURA HOLYCROSS HIGH SCHOL,108282
1963,Dhaka,Nawabganj,GALIMPUR RAHAMANIA HIGH SCHOOL,108292
1964,Dhaka,Nawabganj,KALACOPA KOKILPYARI HIGH SCHOOL,108294
1965,Dhaka,Nawabganj,BEGUM HASIBA HIGH SCHOOL,108295
1966,Dhaka,Nawabganj,GHOSHAIL HIGH SCHOOL,108303
1967,Dhaka,Nawabganj,TUITAL HIGH SCHOOL,108304
1968,Dhaka,Pallabi,BAUNIABANDH IDEAL HIGH SCHOOL,108322
1969,Dhaka,Pallabi,KAMAL AHMED MAJUMDAR SCHOOL AND COLLEGE,108323
1970,Dhaka,Pallabi,BANGLADESH ADARSHA SHIKKHA NIKETON HIGH SCHOOL,108330
1971,Dhaka,Ramna,PROVATI UCHYA BIDHYANIKATON,108344
1972,Dhaka,Ramna,NAZRUL SHIKKHALAY,108345
1973,Dhaka,Motijheel,SHANTIBAG HIGH SCHOOL,108366
1974,Dhaka,Demra,DHARMARAJIKA HIGH SCHOOL,108372
1975,Dhaka,Motijheel,KHILGON HIGH SCHOOL,108373
1976,Dhaka,Demra,BAGANBARI ADARSHA HIGH SCHOOL,108377
1977,Dhaka,Khilgaon,NABIABAD ISLAMIA DAKHIL MADRASH,108384
1978,Dhaka,Savar,ZIRABO HIGH SCHOOL,108397
1979,Dhaka,Savar,TETULJHORA HIGH SCHOOL,108399
1980,Dhaka,Savar,GOHAILBARI HIGH SCHOOL,108401
1981,Dhaka,Savar,BHAKURTA UNION HIGH SCHOOL AND COLLEGE,108418
1982,Dhaka,Savar,MUSHURIKHOLA SAMSUL HAQUE HIGH SCHOOL,108419
1983,Dhaka,Savar,KONDA SCHOOL AND COLLEGE,108422
1984,Dhaka,Savar,KHATGARA HIGH SCHOOL,108424
1985,Dhaka,Savar,BAGUNBARI HIGH SCHOOL,108432
1986,Dhaka,Savar,KALMA WAZ ALI MODEL HIGH SCHOOL,108435
1987,Dhaka,Savar,ASHULIA UCCHA MADHMIC BIDDALOLY,108456
1988,Dhaka,Shyampur,SALAUDDIN AHAMMED HIGH SCHOOL,108464
1989,Dhaka,Shyampur,ADARSHO ACADEMY GANDARIA,108465
1990,Dhaka,Shyampur,DHAKA COTTON MILL ADARSHA HIGH SCHOOL,108466
1991,Dhaka,Demra,MIRHAZIRBAG ADARSHA HIGH SCHOOL,108469
1992,Dhaka,Shyampur,VHASHA PRODIP HIGH SCHOOL,108470
1993,Dhaka,Shyampur,JURAIN ASRAF MASTER ADRSHO HIGH SCHOOL,108471
1994,Dhaka,Shyampur,MURADPUR ADARSHO HIGH SCHOOL,108472
1995,Dhaka,Demra,TAMIRUL MILLAT KAMIL MADRASAH,108478
1996,Dhaka,Shyampur,GANDHARIA HIGH SCHOOL,108482
1997,Dhaka,Shyampur,FARIDABAD HIGH SCHOOL,108499
1998,Dhaka,Kotwali,MITALI BIDYAPITHHIGH SCHOOL,108502
1999,Dhaka,Ramna,SHAHEED NABI HIGH SCHOOL,108503
2000,Dhaka,Shyampur,DHAKA NESARIA KAMIL MADRASHA,108506
2001,Dhaka,Kotwali,K L JUBLI SCHOOL AND COLLEGE,108513
2002,Dhaka,Mirpur,RAJDHANI HIGH SCHOOL,108521
2003,Dhaka,Gulshan,TEJGAON ADARSHA SCHOOL AND COLLEGE,108527
2004,Dhaka,Gulshan,NAKHALPARA HOSSAIN ALI HIGH SCHOOL,108528
2005,Dhaka,Uttara,KANCHKURA HIGH SCHOOL,108550
2006,Dhaka,Uttara,DIABARI ADARSHA HIGH SCHOOL,108552
2007,Dhaka,Uttara,IES UCHCHA MADYAMIC BIDYALAYA,108570
2008,Faridpur,Alfadanga,KHAIRUNNESSA MEMORIL JUNIOR HISGH SCHOOL,108590
2009,Faridpur,Alfadanga,CHARNARANDIA HIGH SCHOOL,108591
2010,Faridpur,Alfadanga,GOPALPUR BFD MADRASAH,108612
2011,Faridpur,Alfadanga,BHARANGKULA JS DHAKHIL MADRASAH,108613
2012,Faridpur,Alfadanga,BANA SARAR KANDI PORAN PARA DHAKHIL MADRASAH,108614
2013,Faridpur,Bhanga,HAMIRDI PAILOT HIGH SCHOOL,108623
2014,Faridpur,Bhanga,SADARDI HIGH SCHOOL,108629
2015,Faridpur,Bhanga,KALAMRIDHA GOBINDA HIGH SCHOOL,108630
2016,Faridpur,Bhanga,ALGI UNIAN NATIONAL HIGH SCHOOL,108635
2017,Faridpur,Bhanga,DEWRA HIGH SCHOOL,108636
2018,Faridpur,Bhanga,ABDUR RASHID MIA HIGH SCHOOL,108637
2019,Faridpur,Bhanga,MUNSURABAD HIGH SCHOOL,108640
2020,Faridpur,Bhanga,CHOUKIGHATA ISLAMIA DAKHIL MADRASAH,108647
2021,Faridpur,Bhanga,IKAMATEDIN MODEL KAMIL MADRASAH,108654
2022,Faridpur,Bhanga,BANGLADESH ISLAMI MISON DAKHIL MADRASAH,108656
2023,Faridpur,Char Bhadrasan,CHAR NOTA KHOLA HIGH SCHOOL,108714
2024,Faridpur,Char Bhadrasan,CHAR HAZIGANJ HIGH SCHOOL,108715
2025,Faridpur,Char Bhadrasan,SALEPUR AMINKHAR HAT HIGH SCHOOL,108716
2026,Faridpur,Char Bhadrasan,CHARBHADRASAN PILOT HIGH SCHOOL,108718
2027,Faridpur,Char Bhadrasan,CHAR AYODHYA HIGH SCHOOL,108719
2028,Faridpur,Char Bhadrasan,MOULOVIRCHAR HIGH SCHOOL,108720
2029,Faridpur,Char Bhadrasan,CHAR HAZIGONJ ADARSHA HIGH SCHOOL,108722
2030,Faridpur,Char Bhadrasan,CHAR SULTANPUR GIGH SCHOOL,108723
2031,Faridpur,Char Bhadrasan,BISWAS BARI HIGH SCHOOL,108725
2032,Faridpur,Char Bhadrasan,CHARSALEPUR ABDUL HYEKHANER HAT HIGH SCHOOL,108726
2033,Faridpur,Char Bhadrasan,BAHRUL ULUM DAKHIL MADRASAH,108727
2034,Faridpur,Faridpur Sadar,FARIDPUR HIGH SCHOOL,108729
2035,Faridpur,Faridpur Sadar,KOMORPUR ABDUL AZIZ INSTITUTION,108734
2036,Faridpur,Faridpur Sadar,MOEZUDDIN HIGH SCHOOL,108735
2037,Faridpur,Faridpur Sadar,SARODA SUNDARI GIRLS HIGH SCHOOL,108741
2038,Faridpur,Faridpur Sadar,HITAISHI HIGH SCHOOL,108747
2039,Faridpur,Faridpur Sadar,KANAIPUR HIGH SCHOOL,108750
2040,Faridpur,Faridpur Sadar,KRISHNA NAGAR HIGH SCHOOL,108754
2041,Faridpur,Faridpur Sadar,UJAN MOLLIKPUR HIGH SCHOOL,108758
2042,Faridpur,Faridpur Sadar,ISHAN INSTITUTION,108761
2043,Faridpur,Faridpur Sadar,SADIPUR HIGH SCHOOL,108762
2044,Faridpur,Faridpur Sadar,RONKAIL HIGH SCHOOL,108763
2045,Faridpur,Faridpur Sadar,MUNSIR BAZAR HIGH SCHOOL,108764
2046,Faridpur,Faridpur Sadar,PORDIA HIGH SCHOOL,108768
2047,Faridpur,Faridpur Sadar,FARIDPUR MUSLIM MISSION DAKHIL MADRASAH,108784
2048,Faridpur,Madhukhali,SUKUR MAMUD HIGHER SECOMDARY SCHOOL AND COLLEGE,108807
2049,Faridpur,Madhukhali,ARPARA HIGH SCHOOL,108816
2050,Faridpur,Madhukhali,GAZNA PURNA CHANDRA HIGH SCHOOL,108821
2051,Faridpur,Madhukhali,NO TWO RAMDIA HIGH SCHOOL,108823
2052,Faridpur,Madhukhali,JHAPUR HIGH SCHOOL,108827
2053,Faridpur,Madhukhali,MEGCHAMI ADARSHA SCHOOL AND COLLEGE,108828
2054,Faridpur,Madhukhali,MAHMUDUN NABI HIGH SCHOOL,108834
2055,Faridpur,Madhukhali,MSALEHA SENOIR MADRASHA,108843
2056,Faridpur,Madhukhali,ARPARA K M N MADRASHA,108846
2057,Faridpur,Madhukhali,BAGAT DHAKHIL MADRASHA,108848
2058,Faridpur,Madhukhali,MADHUKHALI SHA HABIB ALIM MADRASHA,108851
2059,Faridpur,Saltha,BIBHAGDI HIGH SCHOOL,108857
2060,Faridpur,Nagarkanda,SHAHEED MUKTIZOODA AKRAMUNNESA GIRLS HIGH SCHOOL,108859
2061,Faridpur,Nagarkanda,TALMA NAZIMUDDIN HIGH SCHOOL,108861
2062,Faridpur,Nagarkanda,KRISNARDANGI HIGH SCHOOL,108863
2063,Faridpur,Saltha,JOYJHAP HIGH SCHOOL,108867
2064,Faridpur,Nagarkanda,BILGOBINDAPUR HIGH SCHOOL,108869
2065,Faridpur,Saltha,BARAKHAIRDIA HIGH SCHOOL,108870
2066,Faridpur,Nagarkanda,BILNALIA MOYEZUDDIN HIGH SCHOOL,108872
2067,Faridpur,Sadarpur,ADVOCATE RATAN ALI CHOWDHURY GIRLS HIGH SCHOOL,108905
2068,Faridpur,Sadarpur,BAISHRASHI SHIB SUNDARY ACADEMY,108908
2069,Faridpur,Sadarpur,KISHNAPUR MADHYAMIK BIDYALAY,108910
2070,Faridpur,Sadarpur,AMIRABAD FAZLUL HAQUE PILOT INSTITUTION,108911
2071,Faridpur,Sadarpur,AKOTERCHAR SC HIGH SCHOOL,108913
2072,Faridpur,Sadarpur,CHAR CHANDPUR HIGH SCHOOL,108915
2073,Faridpur,Sadarpur,BABURCHAR HIGH SCHOOL,108916
2074,Faridpur,Sadarpur,SHOULDUBI HIGH SCHOOL,108917
2075,Faridpur,Sadarpur,THIRTY THREE NO DECREER CHAR HIGH SCHOOL,108919
2076,Faridpur,Sadarpur,CHANDRAPARA SULTANIA HIGH SCHOOL,108920
2077,Faridpur,Sadarpur,BISHNUPUR HIGH SCHOOL,108921
2078,Faridpur,Sadarpur,NAYADANGI HIGH SCHOOL,108922
2079,Faridpur,Sadarpur,BHASAN CHAR HIGH SCHOOL,108923
2080,Faridpur,Sadarpur,LOHERTEK HIGH SCHOOL,108924
2081,Faridpur,Sadarpur,CHAR BRAHMANDI HIGH SCHOOL,108925
2082,Faridpur,Sadarpur,BISWAJAKER MANJIL KAMIL MADRASAH,108928
2083,Faridpur,Sadarpur,SHONPEACHA NESARIA DAKHIL MADRASAH,108930
2084,Gazipur,Gazipur Sadar,BHADUN MULTILATERAL HIGH SCHOOL,108941
2085,Gazipur,Gazipur Sadar,MUDAFA HAZI SAYED ALI HIGH SCHOOL,108945
2086,Gazipur,Gazipur Sadar,KAZIM UDDIN CHOWDHURY SCHOOL AND COLLEGE,108961
2087,Gazipur,Gazipur Sadar,PORABARI SHAHSUFI FASIH UDDIN HIGH SCHOOL,108963
2088,Gazipur,Gazipur Sadar,HAYDARABAD RAMONY KUMAR PAITO HIGH SCHOOL,108971
2089,GAZIPUR,JOYDEVPUR,HARBAID DARUL ULUM FAJIL MADRASHA,109008
2090,GAZIPUR,TONGI,CHANDORA RAHMANIA FAZIL MADRASAH,109011
2091,Gazipur,Gazipur Sadar,RAJENDRAPUR CANTONMENT PUBLIC SHOOL AND COLLEGE,109039
2092,Gazipur,Gazipur Sadar,SAFIUDDIN SARKAR ACADEMY AND COLLEGE,109063
2093,Gazipur,Kaliganj,CHUPAIR HIGH SCHOOL,109116
2094,Gazipur,Kaliganj,BEGUM RABEYA AHMED HIGH SCHOOL,109123
2095,Gazipur,Kaliganj,CHUPAIR GIRLS HIGH SCHOOL,109131
2096,Gazipur,Kaliganj,SHAORAID HIGH SCHOOL,109133
2097,Gazipur,Kaliganj,BERUYA ABDUR RAFE KHAN HIGH SCHOOL,109139
2098,Gazipur,Kaliganj,SHAHID FAKIR SAMSUDDIN SRAMIK HIGH SCHOOL,109146
2099,Gazipur,Kapasia,KARIHATA HIGH SCHOOL,109184
2100,Gazipur,Kapasia,HAFIZ UDDIN HIGH SCHOOL,109193
2101,Gazipur,Kapasia,RANIGANJ HIGH SCHOOL,109199
2102,Gazipur,Kapasia,KAPASIA HARIMONJURI PILOT GIRLS HIGH SCHOOL,109200
2103,Gazipur,Kapasia,GHAGOTIA CHALA HIGH SCHOOL,109206
2104,Gazipur,Kapasia,UTTAR KHAMER HIGH SCHOOL,109208
2105,Gazipur,Kapasia,RAWNAT ADARSHA HIGH SCHOOL,109201
2106,Gazipur,Kapasia,CHANADULY BAGHIA M R HIGH SCHOOL,109217
2107,Gazipur,Kapasia,UNION HIGH SCHOOL HAILJOR,109219
2108,Gazipur,Kapasia,PIRIZPUR HIGH SCHOOL,109221
2109,Gazipur,Kapasia,AKTHER BANU HIGH SCHOOL,109232
2110,Gazipur,Kapasia,BIR UZALI HIGH SCHOOL,109238
2111,Gazipur,Kapasia,PANCHUA HIGH SCHOOL,109240
2112,Gazipur,Kapasia,BARUN HIGH SCHOOL,109245
2113,Gazipur,Kapasia,ALAUDDIN KHAN HIGH SCHOOL,109247
2114,Gazipur,Kapasia,MAISHADHMNA HIGH SCHOOL,109249
2115,Gazipur,Kapasia,KAMRA MASHOK SENIOR MADRASHA,109261
2116,Gazipur,Kapasia,EKDALA AULIA BALIKA ALIM MAD,109298
2117,Gazipur,Kapasia,KAPASHIA ALIM MADRASHA,109303
2118,Gazipur,Kapasia,ANJAB BALIKA SENIOR MADRASHA,109313
2119,Gazipur,Kapasia,DAKHINGAON BALIKA DAKHIL MAD,109316
2120,Gazipur,Kapasia,UTTAR KHAMER DAKHIL MADRASHA,109317
2121,Gazipur,Sreepur,SINGERDIGHI HIGH SCHOOL,109327
