id,eiin,geographical_position,has_student_toilet,total_toilet_for_boys,total_toilet_for_girls,total_toilet_for_special_needs,has_teacher_toilet,total_toilet_for_male_teachers,total_toilet_for_female_teachers,total_toilet_for_commons,has_wash_block,total_wash_block_for_boys,total_wash_block_for_girls,total_wash_block_for_girls_with_napkin_facility,total_wash_block_for_male_teachers,total_wash_block_for_female_teachers,total_wash_block_for_commons,has_common_room,total_common_room_for_boys,total_common_room_for_girls,has_pta,has_fast_aid_box,conducts_cleaning_program,cleaning_program_number,has_playground,conducts_assembly,celebrates_national_days,has_shahid_minar,conducts_co_curricular_activities,annual_cultural_program,bncc,scout,girls_guide,rover,annual_sports,debate,conducts_awareness_programs,baalyabibaha_rodh,evtijing_protirodh,madok_birodhi_karyakram,sontrash_birodhi_karyakram,jangibad_domon_karyakram,nirapod_shorok_chai_karyakram,community_interaction,acid_nikkhep_protirudh,booling_protirudh,has_boundary_wall,boundary_type,has_safe_water,tubewell,deep_tubewell,supply_water,tap_water,rain_water,purifying_plant,fountain,well,has_ramp_for_disabled,sports_field,garden,open_space,enclosed_with_plants,few_plants,no_plants,pond_or_waterbody,has_electricity,national_grid,generator,solar,has_boundary_marked_wall,has_pond,has_temporary_wall,has_permanent_wall,has_partial_wall,has_natural_wall,was_flooded,flooded_year,days_closed_for_flood
25464,117715,1,true,0,2,0,true,2,0,1,false,,,,,,,false,,,true,true,true,65,true,true,true,false,true,true,,true,true,,true,true,true,true,true,true,,,true,true,true,true,true,,true,true,,,,,,,,false,true,true,true,true,true,,,true,true,,true,true,,,true,,,false,,
25465,120480,1,true,1,1,0,true,0,0,1,true,0,0,0,0,0,1,false,,,true,true,true,6,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,true,false,false,true,false,true,true,false,,true,true,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,,
25466,119520,1,true,3,4,0,true,2,1,0,true,0,0,150,2,1,0,true,0,1,true,true,true,1,true,true,true,false,true,true,,true,true,true,true,true,true,true,,true,,,true,,true,true,true,,true,true,,,,,,,,false,true,,true,true,true,,true,true,true,,,true,,,true,,,false,,
25467,137878,5,true,1,1,0,true,0,0,1,false,,,,,,,true,1,1,true,false,true,6,true,true,true,true,true,true,,true,,,true,true,true,true,true,true,,,false,false,true,true,true,,true,true,,,true,,,,,false,true,true,true,true,,,,true,true,,,,,,,true,,false,,
25468,508172013,1,true,1,1,0,true,1,1,0,false,,,,,,,false,,,false,true,true,6,true,true,true,true,true,,,,,,true,,true,true,true,true,,,,,,,true,,true,true,,true,,,,,,false,true,true,,true,,,,true,true,,,,,,,true,,false,,
25469,111648,1,true,2,1,0,false,,,,false,,,,,,,false,,,true,false,true,3,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,false,,true,,false,,true,true,,,,,,,,false,true,true,true,true,,,,true,true,,,,,,,,,false,,
25470,117578,1,true,0,1,0,true,0,0,1,false,,,,,,,true,0,1,true,true,true,6,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,true,,false,,true,true,,,,,,,,false,true,,true,,true,,,true,true,,,,,,,,,false,,
25471,115803,1,true,17,9,0,true,5,2,0,true,1,1,1,1,1,0,true,1,1,false,true,true,12,true,false,true,true,true,true,,false,true,true,true,true,true,true,true,true,,,true,,true,true,true,,true,true,true,,,,,,,true,true,true,true,true,,,true,true,true,,true,,,,true,,,false,,
25472,113135,1,true,0,14,0,true,1,1,0,false,,,,,,,false,,,true,true,true,3,true,true,true,false,true,true,,true,true,false,true,true,true,true,true,true,,,true,true,true,true,true,,true,,true,,,,,,,false,true,,true,,true,,,true,true,,,,,true,,true,,false,,
25473,119670,1,true,12,9,2,true,3,3,1,true,0,1,1,1,2,0,false,,,false,true,true,6,true,true,true,true,true,true,,,true,,true,,true,true,true,true,,,,,,true,true,,true,true,,,,,,,,true,true,true,true,true,,,,true,true,,,,,,,true,,false,,
25474,107937,1,true,6,6,0,true,4,2,0,true,3,3,0,0,0,0,true,0,0,true,true,true,2,true,true,true,true,true,true,,true,true,,true,true,true,true,true,true,,,true,,,,false,,true,,true,,,,,,,false,true,true,true,true,,,,true,true,,,,,,,,,false,,
25475,201376020,1,true,1,1,0,true,1,1,0,false,,,,,,,false,,,false,true,true,9,true,true,true,true,true,true,,,,,true,true,true,true,true,true,,,,,,,true,,true,true,true,,,,,,,false,true,,true,,,,,true,true,false,true,,,true,,,,false,,
25476,115580,1,true,7,5,0,true,3,1,1,true,4,0,3,3,1,4,false,,,true,true,true,20,true,true,true,true,true,true,,true,,,true,true,true,true,true,true,,,true,true,true,true,true,,true,true,true,,,,,,,true,true,true,true,true,,,,true,true,,true,,,,true,,,false,,
25477,107914,1,true,26,26,0,true,10,10,2,true,0,0,0,0,0,0,false,,,true,true,true,10,true,true,true,true,true,true,,true,false,,true,true,true,true,true,true,,,true,true,true,true,true,,true,,true,,,,true,,,false,true,,,,true,,,true,true,,,true,,,true,,,false,,
25478,135037,1,true,2,2,0,true,1,1,0,false,,,,,,,false,,,true,true,true,9,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,,true,false,,true,,true,,,,,,,false,true,,true,true,true,,true,true,true,,,,,,,,,false,,
25479,123178,1,true,3,3,0,true,1,0,0,false,,,,,,,true,0,1,true,false,true,9,true,true,true,false,true,true,,,true,,true,true,true,true,true,true,,,true,true,true,true,true,,true,true,true,,,,,,,true,true,,true,,true,,true,true,true,,,,,,true,true,,false,,
25480,308669008,1,true,1,1,0,true,1,1,0,false,,,,,,,false,,,true,true,true,9,true,true,true,false,true,true,,,,,true,,true,true,true,,,,true,,,,false,,true,,true,,,,,,,false,true,false,true,,,,true,true,true,,,,,,,,,true,2020,60
25481,503858009,1,true,2,2,0,true,1,1,0,false,,,,,,,false,0,,true,true,false,,false,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,true,false,true,,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,,
