id,eiin,institution_type,maximum_level,student_type,approval_status,management_type,mpo_status,has_technical_attachment,technical_type,teaching_medium_bangla,teaching_medium_english,teaching_medium_english_version,teaching_medium_arabic,shifts_operated,has_build_approval,has_teaching_approval,has_full_approval,has_no_approval
1230,108831,1,2,2,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1231,109511,1,2,2,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1232,128688,1,2,2,,1,3,FALSE,,TRUE,TRUE,,,1,TRUE,TRUE,TRUE,
1233,119627,1,2,2,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1234,104556,1,2,2,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1235,119710,4,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1236,119640,1,3,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE
1237,116739,4,6,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1238,139404,1,1,2,,2,2,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1239,115444,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1240,135343,3,3,3,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
1241,119457,4,9,3,,2,1,TRUE,1,TRUE,FALSE,,FALSE,2,TRUE,TRUE,TRUE,
1242,205158005,4,2,3,,2,2,FALSE,,TRUE,TRUE,,,2,TRUE,TRUE,TRUE,
1243,120420,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1244,110691,4,8,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1245,127850,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,,
1246,123732,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1247,139638,6,3,3,,2,2,TRUE,6,TRUE,TRUE,,,1,TRUE,TRUE,TRUE,
1248,137742,1,1,3,,2,2,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1249,130235,3,4,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1250,107816,4,8,3,,2,1,FALSE,,TRUE,,,TRUE,1,,,TRUE,
1251,113039,1,2,3,,3,1,FALSE,,TRUE,TRUE,,,1,TRUE,TRUE,TRUE,
1252,126794,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1253,405079002,1,2,3,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE
1254,603626004,1,2,3,,2,2,FALSE,,TRUE,,,,1,FALSE,TRUE,,
1255,130590,3,3,3,,2,3,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1256,115228,1,1,2,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1257,119716,3,4,2,,1,3,FALSE,,TRUE,TRUE,,,1,TRUE,TRUE,TRUE,
1258,121631,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1259,111040,1,2,2,,2,1,TRUE,1,TRUE,,,,1,,,TRUE,
1260,106785,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1261,121792,4,7,3,,2,1,FALSE,,TRUE,TRUE,,TRUE,1,TRUE,,TRUE,
1262,127149,2,3,2,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1263,137333,1,1,3,,1,3,FALSE,,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
1264,116650,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1265,201582006,4,6,3,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE
1266,100299,2,3,2,,2,1,TRUE,1,TRUE,,,,1,TRUE,TRUE,TRUE,
1267,119634,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1268,123664,1,2,2,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1269,139175,6,4,3,,3,2,TRUE,5,TRUE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,FALSE
1270,108698,4,6,3,,2,1,FALSE,,TRUE,,,TRUE,1,TRUE,TRUE,TRUE,
1271,123929,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1272,114431,4,6,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1273,139799,6,3,3,,2,2,TRUE,5,TRUE,,,,2,,TRUE,TRUE,
1274,117737,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1275,104339,1,2,2,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1276,138327,1,2,3,,2,3,FALSE,,TRUE,,,,1,,TRUE,FALSE,
1277,306768110,1,2,3,,2,3,FALSE,,TRUE,,,,2,TRUE,TRUE,TRUE,
1278,119525,4,7,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1279,118281,4,6,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1280,110802,1,2,2,,2,1,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1281,139472,1,2,3,,4,2,FALSE,,TRUE,,,,1,TRUE,TRUE,,
1282,139987,4,6,3,,2,2,FALSE,,TRUE,TRUE,FALSE,TRUE,1,TRUE,TRUE,TRUE,FALSE
1283,110880,3,4,3,,1,3,FALSE,,TRUE,,,,1,,,TRUE,
1284,108835,1,2,3,,2,1,FALSE,,TRUE,TRUE,,,1,TRUE,TRUE,TRUE,
1285,115059,1,2,3,,2,1,FALSE,,TRUE,TRUE,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE
1286,123578,1,2,1,,2,1,FALSE,,TRUE,,,,1,FALSE,FALSE,TRUE,
1287,108780,1,1,3,,2,1,FALSE,,TRUE,,,,1,FALSE,TRUE,,
1288,102777,4,8,3,,2,1,FALSE,,TRUE,FALSE,,FALSE,1,FALSE,FALSE,TRUE,
1289,609162116,4,6,3,,2,2,FALSE,,TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE,FALSE,FALSE
1290,119521,4,7,3,,2,1,FALSE,,TRUE,TRUE,,TRUE,1,TRUE,TRUE,TRUE,
1291,123922,1,2,2,,1,3,FALSE,,TRUE,,,,1,,,TRUE,
1292,113265,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1293,609108007,4,2,3,,2,2,FALSE,,TRUE,,,,1,,,,TRUE
1294,609127022,5,12,3,,2,2,FALSE,,TRUE,,,,1,TRUE,TRUE,,
1295,127123,4,6,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1296,119449,4,8,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1297,124382,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1298,137566,1,1,3,,1,2,FALSE,,TRUE,,,,2,TRUE,TRUE,TRUE,
1299,11878b76-cc8a-4dce-9497-3cc51a39906d,2,3,3,,3,3,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1300,506475006,1,2,3,,2,3,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE
1301,126790,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1302,114727,4,5,3,,2,1,FALSE,,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,FALSE
1303,308694011,4,10,3,,2,2,FALSE,,TRUE,,,TRUE,3,TRUE,TRUE,,
1304,116466,2,3,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1305,108718,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1306,116493,1,2,2,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1307,117220,4,6,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1308,132297,6,2,3,,1,3,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1309,119702,4,6,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1310,103446,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1311,132993,2,3,3,,3,2,FALSE,,TRUE,,,,1,FALSE,,TRUE,
1312,110836,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1313,114926,1,2,3,,1,3,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1314,130452,3,5,3,,1,3,TRUE,2,TRUE,,,,1,TRUE,TRUE,TRUE,
1315,120503,1,2,2,,2,1,FALSE,,TRUE,,,,1,,TRUE,,
1316,117748,1,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1317,101454,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1318,113600,4,7,3,,2,1,FALSE,,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,FALSE
1319,201533006,2,2,2,,2,2,FALSE,,TRUE,,,,1,TRUE,,,
1320,136828,1,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1321,110651,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1322,116713,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1323,119518,4,6,2,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1324,139762,1,1,3,,3,2,FALSE,,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
