id,eiin,building_no,building_name,foundation_floor_count,year_built,total_floor_count,total_room_count,vertical_expansion_possible,type,condition
198009,111729,2,?,2,1995,2,7,false,1,1
198010,111729,3,?,2,2000,2,5,false,1,1
198011,111729,4,?,2,2010,2,3,false,1,1
198012,111729,5,?,4,2025,1,3,true,1,1
198016,8b9ba959-98b5-4034-99e4-04f5a8480403,1,Academic,5,2023,2,7,true,1,1
198017,8b9ba959-98b5-4034-99e4-04f5a8480403,2,Hostal,4,2023,4,66,false,1,1
198018,108603,1,1,4,2012,3,9,true,1,1
198019,108603,2,2,0,2008,1,3,false,2,1
198020,108603,3,3,0,2010,1,2,false,2,1
198026,101714,1,01,4,2018,1,3,true,1,1
198027,101714,2,02,2,1975,2,4,false,1,2
198028,101714,3,03,1,1980,1,3,false,2,2
198029,101714,4,04,2,1994,2,6,false,1,1
198030,101714,5,05,1,2009,1,2,false,2,2
198038,103700,1,ACADEMIC BUILDING,4,2021,3,9,true,1,1
198039,103700,2,SEMI PAKA,0,2012,1,1,false,2,1
198040,103700,3,SEMI OAKA,0,2011,1,4,false,2,2
198041,135498,1,SENIOR CAMPUS,8,2020,6,27,true,1,1
198042,135498,2,PRIMARY CAMPUS,6,2011,6,18,false,1,1
198043,135498,3,JUNIOR CAMPUS,6,2013,6,24,false,1,1
198044,133994,1,101,0,1991,1,3,false,2,1
198045,133994,2,102,0,1998,1,3,false,2,1
198046,133994,3,103,0,2014,1,4,false,3,2
198047,133994,4,104,0,2016,1,3,false,3,1
198048,106974,1,2,4,2016,3,9,true,1,1
198049,106974,2,2,0,2018,1,3,false,2,1
198050,106974,3,3,3,1990,2,6,false,1,1
198051,106974,4,4,4,2025,1,2,true,1,1
198053,123281,1,1,2,2004,1,1,true,1,1
198054,123281,2,2,2,2000,1,5,true,1,1
198055,123281,3,3,2,1990,2,5,false,1,1
198056,123281,4,4,1,1980,1,8,false,3,1
198061,123224,1,1,1,1990,1,1,false,3,3
198062,123224,2,2,1,2003,1,4,false,2,2
198063,123224,3,3,2,2006,2,4,false,1,1
198064,123224,4,4,1,2012,1,2,false,2,1
198065,123224,5,5,4,2021,1,3,true,1,1
198066,106635,1,1,4,2019,1,3,true,1,1
198067,106635,2,. 2,0,2011,0,7,false,2,1
198068,106635,3,3,0,1989,0,5,false,2,1
198069,103693,1,SEMI PAKA,0,2015,1,2,false,2,2
198070,103693,2,SEMI PAKA,0,2009,1,3,false,2,2
198071,103693,3,ACADEMIC BUILDING,4,2019,4,14,false,1,1
198072,128684,1,1,2,2020,2,8,false,1,1
198073,128684,2,2,3,2020,1,1,true,1,1
198074,128684,3,3,2,2000,1,4,true,1,1
198075,128684,4,4,0,2000,0,4,false,3,1
198076,128684,5,5,0,2006,0,6,false,2,1
198077,128684,6,6,0,1967,0,2,false,1,3
198078,128684,7,7,0,1967,0,2,false,3,3
