id,eiin,strengthening_reading_habits_scheme_available,trained_organizer_available,books_registered,materials_received,book_shelf_available,chairs_and_tables_for_reading,book_supply_register_available,sixth_grade_members_count,seventh_grade_members_count,eighth_grade_members_count,ninth_grade_members_count,tenth_grade_members_count,honorarium_provided,visited_by_assistant_managers,member_register,book_issued,sixth_grade_books_issued_count,sixth_grade_books_received,seventh_grade_books_issued_count,seventh_grade_books_received,eighth_grade_books_issued_count,eighth_grade_books_received,ninth_grade_books_issued_count,ninth_grade_books_received,tenth_grade_books_issued_count,tenth_grade_books_received,manual_distributed,distribution_info_sent,visited,visited_by_monitoring_officer,visited_by_scheme_officer,visited_by_maushi,visited_by_others,books_received_on,sixth_grade_books_provided,seventh_grade_books_provided,eighth_grade_books_provided,ninth_grade_books_provided,tenth_grade_books_provided
1179,130431,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1180,111036,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,109497,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,117215,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,108386,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,114479,false,true,true,true,true,true,true,0,0,0,0,0,false,true,true,true,0,0,0,0,0,0,0,0,0,0,true,true,false,false,false,false,false,31-12-2024,0,0,0,0,0
1185,139018,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,138416,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,126945,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,108452,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,116540,true,true,true,true,true,false,true,40,40,45,30,30,false,false,true,true,35,35,38,38,2,25,15,15,18,18,true,true,false,false,false,false,false,16-01-2024,20,20,20,20,20
1190,119527,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,101449,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
