id,eiin,new_building_space_available,new_building_space_amount,normal_class_room_count,multimedia_auditorium_room_count,multimedia_class_room_count,multimedia_interactive_class_room_count,headmaster_room_count,office_room_count,science_lab_count,boys_common_room_count,girls_common_room_count,teacher_common_room_count,hostel_count,auditorium_count,educational_materials_room_count,smart_board_tv_room_count,ict_lab_count,library_present,book_count,has_assistant_librarian,has_assistant_library_related_teacher,has_ict_lab,working_desktop_count,working_laptop_count,non_lab_desktop_count,non_lab_laptop_count,has_ict_teacher,ict_teacher_count,has_ict_capable_teacher,internet_used_for_teaching,is_exam_center,public_exam_center,is_registered_in_other_institute,total_registered_in_other_institute,has_internet,broadband,wifi,modem,mobile_hot_spot,total_building_number
38948,130669,true,20,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,true,100,false,false,false,,,1,1,false,,false,true,false,Shohagi Union Higher Secondary School,false,,true,,,true,,1
38949,129021,true,30,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,true,false,false,RANISANKAIL PILOT HIGH SCHOOL,false,,false,,,,,1
38950,104527,true,800,30,0,6,6,2,3,7,1,2,1,29,0,0,4,1,true,29500,true,,true,62,1,23,16,true,3,,true,true,1. Govt. Chittagong College 2. Ispahani Public School & College,false,,true,true,,,,12
38951,114239,true,20,8,1,0,0,1,1,1,0,1,0,0,1,1,1,1,true,176,true,,true,0,12,0,0,true,1,,true,false,Hemnagar Shashimukhi High School,false,,true,,true,,,2
38952,202245004,true,40,10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,true,500,false,false,false,,,0,0,false,,true,true,false,Baraghop Islamia Fazil Madrasah,true,0,true,,,,true,1
38953,508172005,false,,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,true,false,,,1,1,true,1,,true,false,Hamkura Hat High School,true,42,true,,true,,,1
38954,203094054,true,57,7,0,0,8,1,1,0,0,1,1,0,0,0,0,0,true,362,true,,true,0,0,0,0,false,,false,false,true,সোনাগাজী বালিকা উচ্চ বিদ্যালয়,true,18,false,,,,,1
38955,201973002,true,25,15,0,0,0,1,0,0,0,0,1,1,0,1,0,0,false,,false,false,false,,,1,1,false,,true,true,false,Mudaffargang Ali Nawab High School and College,true,15,true,,true,,,3
38956,135903,false,,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,8,2,1,0,false,,false,false,false,ISHWORDI GOVERNMENT AGRICULTURE COLLEGE,false,,false,,,,,1
38957,136185,false,,7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,true,320,true,,false,,,3,2,false,,false,true,false,JAMALPUR GOVT TECNICAL SCHOOL AND COLLEGE,false,,true,,true,,,1
38958,204667010,true,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,false,0,false,,true,true,,,,1
38959,125268,true,15,10,0,1,0,1,1,1,0,2,1,0,0,0,0,0,true,2100,true,,false,0,4,0,4,true,1,,true,false,ATGHORIA  B,false,,true,,true,,,3
38960,114264,true,26,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,false,,false,true,false,,,0,0,false,,false,false,false,Bangla Bazar Samadiya Alim Madrasa,false,,false,,,,,3
38961,453985003,true,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,false,CHAR NANDINA DAKHIL MADRASA,false,12,false,,,,,2
38962,120446,true,20,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,false,,false,false,false,,,0,1,true,1,,false,false,Fulbari darussonna Madrasa,false,,false,,,,,4
38963,130725,true,50,10,0,0,0,1,1,1,0,1,1,0,1,0,0,1,true,2800,true,false,true,0,17,1,0,true,2,false,true,true,Raiganj Technical and Business Management College.,false,,true,true,true,false,false,6
38964,453936203,,,13,0,0,0,1,1,0,0,0,8,0,0,,0,0,false,,false,false,false,,,3,1,false,,false,false,false,বেফাকুল মাদারিসিল আরাবিয়া বাংলাদেশ,false,,true,,true,,,3
38965,133870,true,30,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,true,false,,,6,0,false,,true,false,false,Poradia Adarsha High School,true,16,true,,true,,,1
38966,112174,true,0.5,10,0,0,0,1,1,0,0,0,1,0,0,0,0,0,true,200,false,false,false,,,0,0,false,,true,false,false,কাজিয়া কান্দা কামিল মাদ্রাসা ফুলপুর,false,,true,,,,true,3
38967,207507034,true,15,17,0,0,0,1,1,0,1,0,1,5,1,1,0,0,true,500,false,true,false,,,1,1,false,,true,true,false,Azizya islamiya madrasah,false,,true,,true,,,3
38968,115181,true,15,6,0,1,0,1,1,1,0,1,0,0,1,0,0,0,true,2266,true,,false,,,1,0,false,,true,false,false,Rampal,false,,true,true,,,,3
38969,110968,true,20,5,0,1,0,1,1,0,0,0,0,0,0,1,1,0,true,1800,true,false,false,,,1,2,true,1,false,true,false,SURENDRA KUMAR GOVT. GIRLS HIGH SCHOOL,false,,true,true,true,false,false,2
38970,128212,true,20,6,0,1,0,0,1,1,0,1,1,0,0,0,1,0,true,2200,true,,false,,,1,0,true,1,,true,false,Dhangora High School,false,,true,,true,,,6
38971,131063,true,250,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,true,1000,false,true,false,,,1,0,false,,true,true,false,GUIMARA GOV. HIGH SCHOOL,false,,true,,,,true,1
38972,125879,true,20,8,0,1,0,0,1,1,0,1,0,0,0,0,0,0,true,2100,true,,false,,,0,0,true,1,,true,false,Maydandighi Girls High School.Boda-F 872,false,,true,,true,true,,4
38973,100447006,true,160,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,true,Jamia Karimia Subidkhali - 499,false,,true,,,,true,2
38974,136491,false,0,4,1,1,0,1,2,0,1,1,1,0,0,3,0,1,false,,true,false,true,20,3,3,1,true,1,false,true,false,0,false,,true,false,true,false,false,2
38975,425ae848-a08b-4ae4-8f50-aafe687edbc2,true,660,14,0,0,0,,1,0,0,0,0,1,0,0,0,0,true,500,false,false,false,,,0,0,false,,true,true,false,Paulanpur Islamia Fazil Mardrasah,true,10,true,,true,,,3
38976,114206,true,40,6,1,1,0,1,1,0,0,0,1,0,0,0,1,0,false,,true,,false,,,2,2,true,1,,true,false,Hemnagar Shashimukhi High School,false,,true,,true,true,true,1
38977,135904,false,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,1,0,false,1,true,false,false,BERA GIRLS PILOT HIGH SCHOOL,false,,false,,,,,1
